Teams:14,Rounds:15,Total drafts:2371
Start date,June 18, 2012
End date,July 8, 2012

ADP,Overall,Name,Position,Team,Times Drafted,Bye
9.02,114.0,Houston Defense,DEF,HOU,167,8
9.03,114.5,Rashard Mendenhall,RB,PIT,267,4
9.03,115.0,Mike Williams,WR,TB,374,5
9.04,115.7,Santana Moss,WR,WAS,420,10
9.05,116.5,Jacquizz Rodgers,RB,ATL,359,7
9.05,116.8,Jermaine Gresham,TE,CIN,363,8
9.06,118.2,Felix Jones,RB,DAL,283,5
9.07,119.3,Michael Crabtree,WR,SF,448,9
9.08,120.3,Philadelphia Defense,DEF,PHI,169,7
9.09,121.3,Brian Quick,WR,STL,303,9
9.10,121.8,Baltimore Defense,DEF,BAL,237,8
9.12,124.4,Michael Floyd,WR,ARI,290,10
9.13,125.3,Coby Fleener,TE,IND,324,4
9.14,125.6,Mike Goodson,RB,OAK,276,5
10.01,127.3,Carson Palmer,QB,OAK,297,5
10.03,128.7,Laurent Robinson,WR,JAC,253,6
10.03,128.7,Isaiah Pead,RB,STL,285,9
10.03,128.8,Pittsburgh Defense,DEF,PIT,156,4
10.03,129.1,Vincent Brown,WR,SD,307,7
10.05,130.6,Chicago Defense,DEF,CHI,165,6
10.05,130.7,Andy Dalton,QB,CIN,290,8
10.05,131.0,Brandon LaFell,WR,CAR,204,6
10.05,131.4,Tim Hightower,RB,WAS,333,10
10.06,131.5,Josh Freeman,QB,TB,332,5
10.07,132.7,Pierre Thomas,RB,NO,385,6
10.08,134.0,Chad Ochocinco,WR,MIA,229,7
10.10,135.5,Jared Cook,TE,TEN,590,11
10.10,135.6,Green Bay Defense,DEF,GB,170,10
10.12,138.0,Shane Vereen,RB,NE,306,9
10.12,138.5,Nate Washington,WR,TEN,251,11
10.14,139.5,Kevin Smith,RB,DET,244,5
10.14,140.2,Andrew Luck,QB,IND,269,4
11.01,140.7,Ryan Fitzpatrick,QB,BUF,279,8
11.02,142.2,Alshon Jeffery,WR,CHI,185,6
11.03,143.3,NY Giants Defense,DEF,NYG,188,11
11.04,144.1,Owen Daniels,TE,HOU,624,8
11.04,144.1,Danny Amendola,WR,STL,275,9
11.06,145.5,Mario Manningham,WR,SF,220,9
11.06,146.4,Sebastian Janikowski,PK,OAK,432,5
11.07,147.0,Jon Baldwin,WR,KC,273,7
11.07,147.3,NY Jets Defense,DEF,NYJ,191,9
11.08,147.9,Joe Flacco,QB,BAL,301,8
11.08,148.3,Rashad Jennings,RB,JAC,326,6
11.10,150.0,Brent Celek,TE,PHI,514,7
11.13,153.0,Matt Flynn,QB,SEA,190,11
11.14,153.6,Doug Baldwin,WR,SEA,247,11
11.14,153.7,Rueben Randle,WR,NYG,198,11
11.14,153.8,Detroit Defense,DEF,DET,213,5
11.14,154.2,Brandon Jacobs,RB,SF,303,9
12.01,154.6,Kendall Wright,WR,TEN,189,11
12.02,155.8,David Akers,PK,SF,272,9
12.04,158.3,Austin Collie,WR,IND,190,4
12.05,158.8,Mike Tolbert,RB,CAR,341,6
12.07,160.5,James Jones,WR,GB,233,10
12.07,160.8,Greg Olsen,TE,CAR,407,6
12.08,161.7,Alex Smith,QB,SF,197,9
12.09,163.1,LaMichael James,RB,SF,283,9
12.11,164.7,Seattle Defense,DEF,SEA,231,11
12.11,165.2,Sam Bradford,QB,STL,263,9
12.11,165.2,Emmanuel Sanders,WR,PIT,214,4
12.12,166.4,Cedric Benson,RB,CIN,270,8
12.12,166.5,Buffalo Defense,DEF,BUF,230,8
12.14,168.3,Stephen Gostkowski,PK,NE,284,9
13.03,171.4,Stephen Hill,WR,NYJ,179,9
13.04,171.6,Tim Tebow,QB,NYJ,142,9
13.04,171.7,Joseph Addai,RB,NE,277,9
13.04,172.0,Mason Crosby,PK,GB,247,10
13.05,173.4,Jacoby Ford,WR,OAK,279,5
13.06,174.4,Eddie Royal,WR,SD,317,7
13.07,174.9,Kendall Hunter,RB,SF,197,9
13.08,175.6,Golden Tate,WR,SEA,20,11
13.08,175.7,Delone Carter,RB,IND,237,4
13.10,178.1,Jonathan Dwyer,RB,PIT,28,4
13.10,178.4,Devery Henderson,WR,NO,226,6
13.10,178.5,Alex Green,RB,GB,17,10
13.10,178.5,Dallas Clark,TE,TB,287,5
13.11,178.8,Matt Prater,PK,DEN,136,7
13.11,178.9,Bernard Scott,RB,CIN,253,8
13.11,179.0,Dallas Defense,DEF,DAL,302,5
13.11,179.3,Evan Royster,RB,WAS,127,10
13.12,179.6,Knowshon Moreno,RB,DEN,214,7
13.12,180.1,Robert Turbin,RB,SEA,123,11
13.13,180.7,Taiwan Jones,RB,OAK,124,5
13.13,180.9,Dan Bailey,PK,DAL,115,5
13.13,181.0,Randall Cobb,WR,GB,81,10
13.13,181.2,Donald Driver,WR,GB,25,10
13.14,182.1,Heath Miller,TE,PIT,27,4
14.01,183.0,Dustin Keller,TE,NYJ,262,9
14.02,184.0,Danny Woodhead,RB,NE,27,9
14.02,184.1,Plaxico Burress,WR,NYJ,87,9
14.02,184.2,Lestar Jean,WR,HOU,19,8
14.02,184.2,Jake Locker,QB,TEN,43,11
14.02,184.2,Jerome Simpson,WR,MIN,49,11
14.02,184.2,Martellus Bennett,TE,NYG,197,11
14.03,184.7,Kevin Kolb,QB,ARI,89,10
14.03,184.9,New England Defense,DEF,NE,330,9
14.03,185.1,Minnesota Defense,DEF,MIN,17,11
14.03,185.1,Kellen Winslow,TE,SEA,90,11
14.03,185.3,Mark Sanchez,QB,NYJ,49,9
14.04,185.5,Lamar Miller,RB,MIA,95,7
14.04,185.7,Bernard Pierce,RB,BAL,99,8
14.04,185.7,Nate Burleson,WR,DET,155,5
14.04,185.8,Jason Hanson,PK,DET,156,5
14.05,186.7,Matt Cassel,QB,KC,140,7
14.05,187.1,Cincinnati Defense,DEF,CIN,330,8
14.06,187.5,Marcedes Lewis,TE,JAC,41,6
14.06,187.6,Joe McKnight,RB,NYJ,54,9
14.06,187.8,Denver Defense,DEF,DEN,340,7
14.06,187.9,Steve Smith,WR,STL,77,9
14.06,187.9,Atlanta Defense,DEF,ATL,47,7
14.06,188.2,Dion Lewis,RB,PHI,19,7
14.06,188.2,Tony Moeaki,TE,KC,51,7
14.06,188.3,Davone Bess,WR,MIA,32,7
14.06,188.5,Kansas City Defense,DEF,KC,20,7
14.07,189.4,Alex Henery,PK,PHI,101,7
14.08,189.9,San Diego Defense,DEF,SD,47,7
14.08,190.0,New Orleans Defense,DEF,NO,22,6
14.08,190.4,Jabar Gaffney,WR,NE,88,9
14.10,192.2,Deion Branch,WR,NE,60,9
14.11,192.6,Nate Kaeding,PK,SD,147,7
14.11,193.5,Javon Ringer,RB,TEN,39,11
14.12,193.6,Dexter McCluster,WR,KC,31,7
14.12,193.7,Johnny Knox,WR,CHI,38,6
14.12,193.7,Devin Hester,WR,CHI,45,6
14.12,193.9,Garrett Hartley,PK,NO,108,6
14.12,194.1,Steve Breaston,WR,KC,50,7
14.12,194.1,Matt Bryant,PK,ATL,100,7
14.13,195.1,Ryan Longwell,PK,MIN,15,11
14.13,195.4,Christian Ponder,QB,MIN,34,11
14.13,195.5,Montario Hardesty,RB,CLE,42,10
14.14,195.5,Adam Vinatieri,PK,IND,30,4
14.14,195.8,Ryan Grant,RB,GB,38,10
14.14,196.1,Rob Bironas,PK,TEN,187,11
15.01,196.5,Arizona Defense,DEF,ARI,17,10
15.01,196.6,Mohamed Sanu,WR,CIN,14,8
15.01,196.8,Chris Polk,RB,PHI,19,7
15.01,197.0,Robbie Gould,PK,CHI,134,6
15.01,197.4,Mike Nugent,PK,CIN,39,8
15.01,197.4,Kyle Rudolph,TE,MIN,18,11
15.03,198.6,Washington Defense,DEF,WAS,53,10
15.04,200.1,John Kasay,PK,NO,50,6
15.05,200.8,Neil Rackers,PK,WAS,115,10
15.06,201.5,Billy Cundiff,PK,BAL,125,8
15.06,202.0,Brandon Weeden,QB,CLE,40,10
15.06,202.1,Kris Brown,PK,HOU,47,8
